route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
35384,10003926,1_46348,6072,0,
35388,10003926,1_46344,6076,0,
35177,10003873,1_45544,6703,1,
35178,10003873,1_45543,6704,0,
35180,10003873,1_45540,6706,0,
35184,10003847,1_45566,9700,0,
35374,10003919,1_46112,99,1,
35377,10003926,1_46288,6065,1,
35378,10003926,1_46287,6066,0,
35381,10003926,1_46316,6069,1,
35389,10003926,1_46343,6077,1,
35403,10003926,1_46312,6112,0,
35415,10003926,1_46300,6447,1,
35418,10003926,1_46297,6450,0,
35419,10003926,1_46296,6451,1,
35420,10003926,1_46295,6452,0,
35442,10003935,1_46383,7502,0,
35443,10003935,1_46382,7503,1,
35452,10003947,1_46423,984,0,
35391,10003926,1_46341,6100,0,
35394,10003926,1_46338,6103,1,
29963,10003071,1_34375,113,1,
29972,10003071,1_34125,122,0,
29983,10003937,1_46409,135,1,
30020,10003697,1_43802,22,0,
30040,10003239,1_37696,238,0,
30042,10003697,1_43794,24,0,
30081,10003556,1_39405,275,1,
30093,10003804,1_44415,34,0,
30099,10003697,1_43737,40,0,
30101,10003752,1_43916,402,0,
30110,10003757,1_43929,421,1,
30124,10003587,1_40241,445,1,
30134,10003587,1_40251,454,0,
30147,10003587,1_40262,466,0,
30150,10003587,1_40266,469,1,
30152,10003587,1_40250,470,0,
30154,10003849,1_45640,472,0,
30172,10001918,1_28318,511,1,
30195,10003620,1_41629,532,0,
30199,10003866,1_45647,56,0,
30279,10001918,1_26672,719,1,
30280,10001928,1_27976,72,0,
30286,10003587,1_40273,725,1,
30287,10003587,1_40274,726,0,
30318,10003587,1_40285,754,0,
30323,10001918,1_26676,759,1,
30328,10001918,1_26673,763,1,
30342,10003239,1_37223,776,0,
30362,10003751,1_43934,839,1,
30365,10001928,1_28128,86,0,
30383,10003891,1_45785,910,0,
30387,10003239,1_37399,9131,1,
30407,10001928,1_26495,93,1,
30445,10003755,1_43911,405,1,
30446,10003755,1_43901,407,1,
30465,10003923,1_46278,6064,0,
30473,10003924,1_46161,6072,0,
30475,10003923,1_46179,6074,0,
30478,10003923,1_46176,6077,1,
30490,10003927,1_46190,6110,0,
30493,10003924,1_46172,6113,1,
30502,10003924,1_46152,6445,1,
30503,10003925,1_46251,6446,0,
30505,10003925,1_46249,6448,0,
30510,10003924,1_46153,6453,1,
30511,10003925,1_46280,6454,0,
30541,10003772,1_44176,7063,1,
30548,10003772,1_44145,7106,0,
30860,10003849,1_45582,305,1,
30871,10003849,1_45593,317,1,
30878,10003849,1_45599,324,0,
30885,10003849,1_45606,331,1,
30887,10003849,1_45608,333,1,
30910,10003619,1_40905,621,1,
30913,10003620,1_41242,624,0,
30917,10003620,1_40951,628,0,
30925,10003620,1_40952,636,0,
30927,10003621,1_40943,638,0,
30941,10003620,1_40969,652,0,
30948,10003619,1_40929,659,1,
30951,10003621,1_40939,662,0,
30952,10003619,1_40932,663,1,
30965,10003620,1_40956,676,0,
31021,10003823,1_44708,6313,1,
31022,10003811,1_44701,6314,0,
31027,10003811,1_44653,6319,1,
31031,10003811,1_44657,6323,1,
31034,10003811,1_44669,6326,0,
31037,10003910,1_45960,6611,1,
31048,10003910,1_45949,6624,0,
31241,10003518,1_39975,7065,1,
32428,10003697,1_42744,132,0,
32429,10003697,1_42745,133,1,
32443,10003099,1_34902,561,1,
32446,10003097,1_34820,564,0,
32451,10003097,1_34822,572,0,
32463,10003097,1_34823,594,0,
32466,10003811,1_44639,6122,0,
32486,10003673,1_42403,6548,0,
32494,10003673,1_42395,6556,0,
32496,10003811,1_44579,6715,1,
32502,10003811,1_44585,6727,1,
32503,10003811,1_44586,6728,0,
32516,10003722,1_43339,7122,0,
32518,10003722,1_43360,7124,0,
32523,10003518,1_39989,7542,0,
34155,10003697,1_43800,229,1,
34160,10003697,1_43795,237,1,
34176,10003697,1_43774,276,0,
34189,10003239,1_37232,574,0,
34192,10003239,1_37397,579,1,
34193,10003239,1_37236,582,0,
34196,10003239,1_37393,587,1,
34197,10003938,1_46399,673,1,
34200,10003874,1_45538,703,1,
34211,10003239,1_37675,954,0,
34215,10003239,1_37659,968,0,
34219,10003239,1_37663,973,1,
34227,10003938,1_46395,981,1,
34233,10003337,1_37541,1020,0,
34257,10003811,1_44678,6137,1,
34272,10003811,1_44693,6515,1,
34286,10003910,1_45940,6958,0,
34298,10003931,1_46370,7503,1,
34298,10003932,1_46366,7503,1,
34333,10003239,1_38155,90,0,
34337,10003892,1_45755,933,1,
34339,10003896,1_45835,6901,1,
34347,10003895,1_45847,6909,1,
34348,10003896,1_45826,6910,0,
34386,10003722,1_43341,7020,0,
34388,10003722,1_43329,7022,0,
34454,10003456,1_38373,43,1,
35179,10003873,1_45539,6705,1,
35188,10003847,1_45556,9704,0,
35193,10003847,1_45562,9709,1,
35330,10003947,1_46416,675,1,
35335,10003947,1_46421,981,1,
35339,10003947,1_46424,986,0,
35390,10003926,1_46342,6078,0,
35395,10003926,1_46337,6104,0,
35402,10003926,1_46313,6111,1,
35407,10003926,1_46308,6439,1,
35410,10003926,1_46305,6442,0,
35417,10003926,1_46298,6449,1,
35449,10003935,1_46376,7954,0,
29958,10003071,1_34119,108,0,
29964,10003071,1_34122,114,0,
29975,10003071,1_34369,125,1,
29991,10003071,1_34333,157,1,
29993,10003071,1_34339,159,1,
29994,10003071,1_34082,160,0,
30001,10003071,1_34338,167,1,
30014,10003239,1_38133,180,0,
30037,10003239,1_36793,235,1,
30041,10003239,1_36753,239,1,
30049,10003239,1_37669,246,0,
30050,10003239,1_36764,247,1,
30064,10003697,1_43782,26,0,
30089,10003804,1_44413,30,0,
30091,10003804,1_44414,32,0,
30100,10003757,1_43930,401,1,
30104,10003757,1_43928,409,1,
30105,10003757,1_43927,41,1,
30115,10003752,1_43922,426,0,
30142,10003587,1_40257,461,1,
30153,10003587,1_40267,471,1,
30169,10001918,1_27917,509,1,
30170,10003697,1_43745,51,1,
30173,10001890,1_26320,512,0,
30197,10003239,1_37681,535,1,
30264,10001928,1_28131,66,0,
30283,10003587,1_40272,722,0,
30288,10001918,1_26666,727,1,
30295,10003587,1_40276,733,1,
30302,10001928,1_28040,74,0,
30321,10003575,1_39895,757,1,
30327,10003587,1_40288,762,0,
30330,10003587,1_40289,765,1,
30337,10001918,1_26675,771,1,
30338,10003239,1_37238,772,0,
30343,10003636,1_41612,777,1,
30350,10003239,1_37120,783,1,
30351,10003556,1_39406,784,0,
30354,10001928,1_26492,81,1,
30361,10003751,1_43921,838,0,
30398,10003893,1_45759,921,1,
30405,10003891,1_45774,928,0,
30406,10003892,1_45754,929,1,
30439,10003921,1_46116,99,1,
30466,10003924,1_46154,6065,1,
30474,10003923,1_46180,6073,1,
30474,10003924,1_46160,6073,1,
30475,10003924,1_46159,6074,0,
30476,10003923,1_46173,6075,1,
30479,10003924,1_46209,6078,0,
30481,10003924,1_46211,6101,1,
30482,10003924,1_46263,6102,0,
30488,10003927,1_46181,6108,0,
30489,10003924,1_46171,6109,1,
30491,10003924,1_46174,6111,1,
30495,10003924,1_46151,6115,1,
30496,10003924,1_46150,6439,1,
30496,10003925,1_46258,6439,1,
30505,10003924,1_46142,6448,0,
30508,10003924,1_46139,6451,1,
30545,10003772,1_44142,7103,1,
30551,10003772,1_44149,7443,1,
30560,10003722,1_43399,7720,0,
30857,10003849,1_45577,302,0,
30863,10003849,1_45583,308,0,
30876,10003849,1_45597,322,0,
30889,10003849,1_45591,335,1,
30891,10003849,1_45631,337,1,
30895,10003849,1_45636,341,1,
30908,10003619,1_40904,619,1,
30914,10003619,1_40911,625,1,
30938,10003619,1_40899,649,1,
30944,10003619,1_40898,655,1,
30961,10003620,1_40935,672,0,
30966,10003937,1_46407,679,1,
30967,10003620,1_40958,680,0,
30971,10003938,1_46396,688,0,
31024,10003811,1_44700,6316,0,
31025,10003811,1_44651,6317,1,
31026,10003811,1_44652,6318,0,
31044,10003910,1_45953,6620,0,
31045,10003910,1_45952,6621,1,
31050,10003910,1_45947,6626,0,
32431,10003620,1_41627,181,1,
32438,10003099,1_34892,551,1,
32439,10003097,1_34835,554,0,
32453,10003097,1_34817,576,0,
32455,10003097,1_34816,580,0,
32471,10003821,1_44523,6127,1,
32479,10003821,1_44520,6135,1,
32481,10003673,1_42393,6543,1,
32488,10003673,1_42401,6550,0,
32491,10003673,1_42398,6553,1,
32495,10003673,1_42394,6557,1,
32504,10003811,1_44587,6731,1,
32510,10003811,1_44635,6743,1,
32524,10003518,1_39990,7543,1,
33541,10002166,1_31073,713,1,
34157,10003697,1_43798,232,0,
34177,10003239,1_36787,277,1,
34181,10003940,1_46389,343,1,
34183,10003620,1_40964,349,1,
34187,10003239,1_37231,552,0,
34191,10003239,1_37235,578,0,
34197,10003937,1_46408,673,1,
34209,10003239,1_37676,952,0,
34210,10003239,1_37692,953,1,
34216,10003239,1_37660,970,0,
34231,10003938,1_46392,985,1,
34232,10003937,1_46400,986,0,
34246,10003811,1_44687,6026,0,
34248,10003811,1_44702,6028,0,
34250,10003811,1_44691,6030,0,
34254,10003811,1_44703,6035,1,
34282,10003910,1_45937,6954,0,
34288,10003910,1_45931,6960,0,
34296,10003931,1_46372,7500,0,
34338,10003896,1_45828,6900,0,
34345,10003895,1_45846,6907,1,
34346,10003895,1_45848,6908,0,
34350,10003896,1_45824,6912,0,
34389,10003722,1_43330,7023,1,
34627,10003722,1_43424,7723,1,
35190,10003847,1_45558,9706,0,
35332,10003947,1_46413,683,1,
35333,10003947,1_46418,684,0,
35336,10003947,1_46422,983,1,
35376,10003926,1_46289,6064,0,
35380,10003926,1_46315,6068,0,
35397,10003926,1_46290,6106,0,
35398,10003926,1_46292,6107,1,
35400,10003926,1_46293,6109,1,
35422,10003926,1_46335,6454,0,
35441,10003935,1_46384,7500,0,
35450,10003935,1_46375,7955,1,
29952,10003071,1_34116,102,0,
29956,10003071,1_34118,106,0,
29965,10003071,1_34374,115,1,
29974,10003071,1_34104,124,0,
30007,10003071,1_34383,173,1,
30009,10003071,1_34356,175,1,
30010,10003071,1_34113,176,0,
30021,10003456,1_38601,220,0,
30062,10003239,1_37672,258,0,
30072,10003239,1_36754,267,1,
30106,10003752,1_43919,418,0,
30114,10003757,1_43893,425,1,
30122,10003587,1_40239,443,1,
30125,10003587,1_40242,446,0,
30133,10003587,1_40249,453,1,
30139,10003587,1_40255,459,1,
30159,10003849,1_45650,49,1,
30175,10001890,1_26372,514,0,
30179,10001890,1_26349,518,0,
30180,10001918,1_28352,519,1,
30185,10001918,1_27919,523,1,
30246,10001928,1_28042,64,0,
30269,10001928,1_26484,67,1,
30271,10001928,1_26498,69,1,
30275,10001918,1_26670,715,1,
30289,10001918,1_27370,728,0,
30310,10001918,1_26678,747,1,
30324,10001928,1_28041,76,0,
30325,10001918,1_27331,760,0,
30329,10001918,1_27332,764,0,
30344,10003151,1_35429,778,0,
30349,10003558,1_39402,782,0,
30381,10003893,1_45767,909,1,
30397,10003891,1_45779,920,0,
30415,10003239,1_37693,950,0,
30440,10003031,1_32439,1403,1,
30441,10003337,1_37340,1405,1,
30447,10001951,1_27878,9442,0,
30468,10003923,1_46186,6067,1,
30472,10003923,1_46189,6071,1,
30481,10003927,1_46200,6101,1,
30484,10003924,1_46261,6104,0,
30485,10003924,1_46260,6105,1,
30486,10003927,1_46202,6106,0,
30488,10003924,1_46194,6108,0,
30489,10003927,1_46204,6109,1,
30490,10003924,1_46193,6110,0,
30499,10003924,1_46147,6442,0,
30501,10003925,1_46253,6444,0,
30504,10003925,1_46250,6447,1,
30507,10003924,1_46140,6450,0,
30512,10003925,1_46281,6455,1,
30552,10003772,1_44150,7444,0,
30554,10003772,1_44152,7446,0,
30559,10003722,1_43400,7719,1,
30869,10003849,1_45592,314,0,
30873,10003849,1_45594,319,1,
30877,10003849,1_45598,323,1,
30896,10003849,1_45637,342,0,
30905,10003620,1_40953,616,0,
30931,10003621,1_40941,642,0,
30933,10003620,1_40967,644,0,
30939,10003621,1_40944,650,0,
30947,10003621,1_40946,658,0,
30953,10003620,1_40923,664,0,
30958,10003620,1_40934,669,1,
30968,10003937,1_46406,683,1,
30969,10003944,1_46385,684,0,
30971,10003937,1_46405,688,0,
31020,10003811,1_44679,6312,0,
31029,10003811,1_44655,6321,1,
31041,10003910,1_45956,6617,1,
31052,10003910,1_45945,6628,0,
31053,10003871,1_45651,6629,1,
31090,10003914,1_46051,7613,1,
31164,10003945,1_46411,692,0,
31242,10003772,1_44146,7107,1,
32427,10003083,1_34445,129,1,
32445,10003099,1_34901,563,1,
32447,10003099,1_34900,565,1,
32448,10003097,1_34819,566,0,
32457,10003097,1_34815,584,0,
32470,10003811,1_44588,6126,0,
32473,10003821,1_44522,6129,1,
32475,10003821,1_44519,6131,1,
32483,10003673,1_42419,6545,1,
32487,10003673,1_42402,6549,1,
32515,10003722,1_43338,7121,1,
34151,10003697,1_43801,221,1,
34165,10003697,1_43784,256,0,
34185,10003239,1_37230,548,0,
34186,10003239,1_37394,549,1,
34206,10003874,1_45536,709,1,
34212,10003239,1_37673,955,1,
34218,10003239,1_37662,972,0,
34230,10003938,1_46393,984,0,
34240,10003811,1_44681,6020,0,
34263,10003811,1_44650,6506,0,
34290,10003910,1_45929,6962,0,
34292,10003910,1_45927,6964,0,
34299,10003931,1_46369,7505,1,
34348,10003895,1_45845,6910,0,
34349,10003895,1_45844,6911,1,
34357,10003518,1_39995,7902,0,
34359,10003518,1_39997,7904,0,
35172,10003849,1_45493,217,1,
35173,10003849,1_45581,228,0,
35187,10003847,1_45555,9703,1,
35194,10003847,1_45570,9710,0,
35382,10003926,1_46317,6070,0,
35383,10003926,1_46318,6071,1,
35387,10003926,1_46345,6075,1,
35404,10003926,1_46311,6113,1,
35409,10003926,1_46306,6441,1,
35416,10003926,1_46299,6448,0,
35446,10003935,1_46379,7951,1,
35447,10003935,1_46378,7952,0,
29951,10003071,1_34381,101,1,
29959,10003071,1_34377,109,1,
29962,10003071,1_34121,112,0,
29966,10003071,1_34123,116,0,
29970,10003071,1_34105,120,0,
29984,10003484,1_38664,149,1,
29989,10003071,1_34332,155,1,
30031,10003757,1_43895,23,1,
30036,10003071,1_34360,234,0,
30046,10003239,1_36766,243,1,
30053,10003757,1_43898,25,1,
30054,10003239,1_37670,250,0,
30075,10003757,1_43900,27,1,
30076,10003071,1_34366,270,0,
30103,10003752,1_43918,406,0,
30108,10003697,1_43736,42,0,
30113,10003752,1_43913,424,0,
30128,10003587,1_40245,449,1,
30130,10003587,1_40246,450,0,
30140,10003697,1_43749,46,0,
30141,10003587,1_40256,460,0,
30145,10003587,1_40260,464,0,
30148,10003587,1_40263,467,1,
30164,10001890,1_26317,504,0,
30166,10001890,1_26316,506,0,
30178,10001918,1_28319,517,1,
30186,10001890,1_26335,524,0,
30189,10001918,1_27944,527,1,
30274,10001928,1_26497,71,1,
30277,10003587,1_40269,717,1,
30278,10003587,1_40270,718,0,
30296,10003587,1_40277,734,0,
30297,10001918,1_26668,735,1,
30299,10003587,1_40278,737,1,
30301,10001918,1_26669,739,1,
30307,10001918,1_27334,744,0,
30311,10001918,1_27335,748,0,
30312,10003575,1_39893,749,1,
30315,10001918,1_26679,751,1,
30316,10001918,1_27337,752,0,
30326,10003587,1_40287,761,1,
30331,10003587,1_40290,766,0,
30353,10001928,1_28126,80,0,
30355,10001928,1_28125,82,0,
30358,10003751,1_43903,831,1,
30369,10001928,1_28122,88,0,
30370,10001928,1_26515,89,1,
30376,10003891,1_45782,904,0,
30380,10003891,1_45770,908,0,
30400,10003893,1_45758,923,1,
30402,10003893,1_45757,925,1,
30413,10001896,1_27308,9471,1,
30424,10001928,1_28129,96,0,
30464,10003923,1_46284,6063,1,
30476,10003924,1_46158,6075,1,
30492,10003924,1_46208,6112,0,
30492,10003927,1_46192,6112,0,
30498,10003924,1_46148,6441,1,
30512,10003924,1_46170,6455,1,
30543,10003772,1_44159,7101,1,
30544,10003772,1_44157,7102,0,
30867,10003849,1_45587,312,0,
30872,10003849,1_45609,318,0,
30881,10003849,1_45610,327,1,
30902,10003620,1_40965,613,1,
30915,10003621,1_40949,626,0,
30926,10003619,1_40900,637,1,
30930,10003619,1_40931,641,1,
30935,10003621,1_40942,646,0,
30945,10003620,1_40970,656,0,
30950,10003622,1_41050,661,1,
30955,10003621,1_40937,666,0,
30957,10003620,1_40933,668,0,
30966,10003938,1_46398,679,1,
31036,10003811,1_44667,6329,1,
31049,10003910,1_45948,6625,1,
31055,10003910,1_45944,6632,0,
31089,10003914,1_46052,7612,0,
31092,10003914,1_46062,7615,1,
32433,10003099,1_34891,542,0,
32434,10003099,1_34890,543,1,
32435,10003097,1_34836,546,0,
32441,10003097,1_34834,558,0,
32449,10003097,1_34818,568,0,
32469,10003821,1_44525,6125,1,
32472,10003811,1_44603,6128,0,
32489,10003673,1_42400,6551,1,
32499,10003811,1_44582,6720,0,
32505,10003811,1_44601,6732,0,
32513,10003811,1_44632,6748,0,
34159,10003697,1_43796,236,0,
34162,10003697,1_43809,244,0,
34164,10003697,1_43786,252,0,
34166,10003239,1_36758,259,1,
34168,10003697,1_43780,261,1,
34179,10003697,1_42747,280,0,
34205,10003874,1_45535,708,0,
34208,10003239,1_37694,951,1,
34213,10003239,1_37656,956,0,
34224,10003239,1_37674,978,0,
34229,10003937,1_46403,983,1,
34242,10003811,1_44683,6022,0,
34256,10003811,1_44677,6136,0,
34258,10003811,1_44666,6500,0,
34259,10003811,1_44672,6502,0,
34266,10003811,1_44699,6509,1,
34267,10003811,1_44698,6510,0,
34268,10003811,1_44697,6511,1,
34285,10003910,1_45934,6957,1,
34289,10003910,1_45930,6961,1,
34294,10003910,1_45941,6966,0,
34303,10003934,1_46355,7953,1,
34342,10003895,1_45851,6904,0,
34342,10003896,1_45832,6904,0,
34351,10003895,1_45842,6913,1,
34356,10003518,1_39994,7901,1,
34358,10003518,1_39996,7903,1,
34412,10003874,1_45567,711,1,
34427,10003475,1_38649,9182,0,
34624,10003914,1_46049,7616,0,
35176,10003873,1_45546,6702,0,
35181,10003873,1_45542,6707,1,
35189,10003847,1_45557,9705,1,
35195,10003847,1_45563,9711,1,
35334,10003947,1_46426,688,0,
35393,10003926,1_46339,6102,0,
35396,10003926,1_46336,6105,1,
35401,10003926,1_46314,6110,0,
35405,10003926,1_46310,6114,0,
35411,10003926,1_46304,6443,1,
35413,10003926,1_46302,6445,1,
35414,10003926,1_46301,6446,0,
35445,10003935,1_46380,7950,0,
35448,10003935,1_46377,7953,1,
29957,10003071,1_34378,107,1,
29973,10003071,1_34370,123,1,
29976,10003071,1_34102,126,0,
29980,10003697,1_42743,130,0,
29988,10003071,1_34057,154,0,
29996,10003071,1_34106,162,0,
30000,10003071,1_34108,166,0,
30003,10003071,1_34343,169,1,
30005,10003071,1_34355,171,1,
30006,10003071,1_34111,172,0,
30008,10003071,1_34112,174,0,
30017,10003757,1_43897,19,1,
30045,10003239,1_37668,242,0,
30055,10003239,1_36772,251,1,
30080,10003071,1_34365,274,0,
30094,10003805,1_44418,35,1,
30096,10003805,1_44419,37,1,
30097,10003697,1_43738,38,0,
30098,10003757,1_43931,39,1,
30120,10003587,1_40265,441,1,
30121,10003587,1_40238,442,0,
30126,10003587,1_40243,447,1,
30136,10003587,1_40252,456,0,
30143,10003587,1_40258,462,0,
30151,10003697,1_43748,47,1,
30165,10001918,1_27915,505,1,
30171,10001890,1_26319,510,0,
30182,10001890,1_26368,520,0,
30224,10001928,1_28133,62,0,
30257,10001928,1_26485,65,1,
30273,10001928,1_27947,70,0,
30281,10001918,1_27350,720,0,
30290,10003587,1_40275,729,1,
30293,10001918,1_26667,731,1,
30305,10003587,1_40283,742,0,
30313,10001928,1_26482,75,1,
30322,10003587,1_40286,758,0,
30345,10003239,1_37096,779,1,
30347,10003239,1_37222,780,0,
30356,10001928,1_26490,83,1,
30357,10003849,1_45644,830,0,
30360,10003751,1_43904,835,1,
30375,10003893,1_45764,903,1,
30378,10003891,1_45783,906,0,
30382,10001928,1_26494,91,1,
30386,10003893,1_45787,913,1,
30389,10003893,1_45762,915,1,
30395,10003893,1_45761,919,1,
30399,10003891,1_45777,922,0,
30401,10003891,1_45776,924,0,
30403,10003891,1_45775,926,0,
30408,10001928,1_28123,94,0,
30412,10001896,1_27668,9460,0,
30423,10003239,1_37658,959,1,
30444,10003755,1_43908,403,1,
